model,total,avg_accuracy
Ensemble size 2,228,0.9278947368421053
mobilenet_v3_small,108,0.7333333333333334
resnet18,9,0.7888888888888888
resnet34,9,0.7877777777777777
resnet50,26,0.7946153846153846
resnet101,118,0.800677966101695
vit_b_16,115,0.8178260869565217
