model,mean_e2e_s,min_e2e_s,max_e2e_s,mean_total_worker_time_s,min_total_worker_time_s,max_total_worker_time_s,mean_queue_wait_s
resnet18-1,2.537375847255319,0.048031941,33.214743621,2.5373787021276595,0.048036,33.214757,1.4880202765957447
resnet34-1,6.523244532914894,0.096502038,48.415862608,6.523248489361702,0.096504,48.415864,1.411443659574468
mobilenet_v3_small-1,7.513289505468085,0.034687479,45.309327492,7.513293255319149,0.034691,45.309329,2.3438710638297873
vit_b_16-1,12.723832200375,0.218361844,50.017071597,12.723838208333333,0.218369,50.017078,2.2329847083333334
resnet50-1,19.398473205395835,0.135145324,93.802191991,19.39847747916667,0.135147,93.802195,8.063014770833332
resnet101-1,22.83407927154167,0.266125243,81.666310386,22.8340846875,0.266129,81.666318,5.718660020833333
